statisticName,value,count,date_time
HI2_SENT_LEMF,703,17,2025-02-05T13:07:06
HI3_SENT_LEMF,245961,13,2025-02-05T13:07:06
HI2_SENT_NOT_LEMF,703,1120,2025-02-05T13:07:06
HI3_SENT_NOT_LEMF,245962,332,2025-02-05T13:07:06
X2_DEDUPLICATED_CIMS,587,1649,2025-02-05T13:07:06
X3_DEDUPLICATED_CIMS,53893,480,2025-02-05T13:07:06
X2_RECEIVED_CIMS,843,4072,2025-02-05T13:07:06
X2_RECEIVED_5GC,336,763,2025-02-05T13:07:06
X3_RECEIVED_CIMS,68309,2142,2025-02-05T13:07:06
X3_RECEIVED_5GC,202123,170,2025-02-05T13:07:06
HI2_SENT,1406,1137,2025-02-05T13:07:06
HI3_SENT,491923,345,2025-02-05T13:07:06
X2_RECEIVED,1179,4835,2025-02-05T13:07:06
X3_RECEIVED,270432,2312,2025-02-05T13:07:06
X2_RECEIVED_MME_5GC,21,276,2025-02-05T13:07:06
X2_RECEIVED_SMF_5GC,305,422,2025-02-05T13:07:06
X3_RECEIVED_UPF_5GC,202123,170,2025-02-05T13:07:06
svc-catania-amf-x2-receiver-1-68fj4,3,9,2025-02-05T13:07:06
svc-catania-amf-x2-receiver-1-6d7xb,6,50,2025-02-05T13:07:06
svc-catania-amf-x2-receiver-1-l25xm,1,6,2025-02-05T13:07:06
svc-catania-cims-x2-receiver-2-ksqtz,258,1399,2025-02-05T13:07:06
svc-catania-cims-x2-receiver-2-kz9jd,234,1228,2025-02-05T13:07:06
svc-catania-cims-x2-receiver-2-mclh6,351,1445,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-b9vsb,39483,429,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-d6t6x,3303,412,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-fsxwz,10966,376,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-n94lk,14362,422,2025-02-05T13:07:06
svc-catania-cims-x3-receiver-1-pstrw,195,197,2025-02-05T13:07:06
svc-catania-delivery-function-0,940965,1494,2025-02-05T13:07:06
svc-catania-handover-manager-0,54480,2129,2025-02-05T13:07:06
svc-catania-mme-x2-receiver-1-85ddf,14,190,2025-02-05T13:07:06
svc-catania-mme-x2-receiver-1-mzgcn,1,36,2025-02-05T13:07:06
svc-catania-mme-x2-receiver-1-tfmw7,6,50,2025-02-05T13:07:06
svc-catania-smf-x2-receiver-1-8rnlk,78,116,2025-02-05T13:07:06
svc-catania-smf-x2-receiver-1-9hbd8,189,190,2025-02-05T13:07:06
svc-catania-smf-x2-receiver-1-jl48r,38,116,2025-02-05T13:07:06
svc-catania-upf-x3-receiver-1-5rh6d,56522,79,2025-02-05T13:07:06
svc-catania-upf-x3-receiver-1-dhxfg,140652,60,2025-02-05T13:07:06
svc-catania-upf-x3-receiver-1-md9g2,4949,31,2025-02-05T13:07:06
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:07:06
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:07:06
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,455957,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_LA_ACT,-1,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_NSWCC_ATLECC,-2,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_NSWLECC_PRIMARY,-2017,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,-1707,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_SPC,-1725,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_SAPOL_PRIMARY,-928,1,2025-02-05T13:07:06
HI3_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1940,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_ACIC_PRIMARY,19,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_AFP_PRIMARY,63,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_LA_ACT,60,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NSWCC_ATLECC,18,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NSWICAC_PRIMARY,6,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NSWLECC_PRIMARY,0,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NSWPOL_PHQ,139,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NSWPOL_SPC,32,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_NTPOL_PRIMARY,43,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_QLDPOL_PRIMARY,103,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_SAICAC_SAICAC,0,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_SAPOL_PRIMARY,23,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_Telstra_LEMF1,16,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_VICIBAC_PRIMARY,0,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_VICPOL_PRIMARY,106,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_WACCC_PRIMARY,0,1,2025-02-05T13:07:06
HI2_PDU_SENT_PER_LEMF_WAPOL_PRIMARY,75,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_ACIC_PRIMARY,1014,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_AFP_PRIMARY,64811,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_LA_ACT,107139,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_NSWCC_ATLECC,1902,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_NSWLECC_PRIMARY,0,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_NSWPOL_PHQ,33854,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_NSWPOL_SPC,35129,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_NTPOL_PRIMARY,588,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_QLDPOL_PRIMARY,0,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_SAPOL_PRIMARY,278,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_Telstra_LEMF1,843,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_VICPOL_PRIMARY,296,1,2025-02-05T13:07:06
HI3_PDU_SENT_PER_LEMF_WAPOL_PRIMARY,107,1,2025-02-05T13:07:06
NEW_INDEX_COUNT,2,0,2025-02-05T13:07:06
RESET_INDEX_COUNT,2,0,2025-02-05T13:07:06
HI2_SENT_LEMF,800,17,2025-02-05T13:08:15
HI3_SENT_LEMF,217682,13,2025-02-05T13:08:15
HI2_SENT_NOT_LEMF,800,1120,2025-02-05T13:08:15
HI3_SENT_NOT_LEMF,217680,332,2025-02-05T13:08:15
X2_DEDUPLICATED_CIMS,707,1649,2025-02-05T13:08:15
X3_DEDUPLICATED_CIMS,45555,480,2025-02-05T13:08:15
X2_RECEIVED_CIMS,889,4072,2025-02-05T13:08:15
X2_RECEIVED_5GC,407,763,2025-02-05T13:08:15
X3_RECEIVED_CIMS,73770,2142,2025-02-05T13:08:15
X3_RECEIVED_5GC,207849,170,2025-02-05T13:08:15
HI2_SENT,1600,1137,2025-02-05T13:08:15
HI3_SENT,435362,345,2025-02-05T13:08:15
X2_RECEIVED,1296,4835,2025-02-05T13:08:15
X3_RECEIVED,281619,2312,2025-02-05T13:08:15
X2_RECEIVED_MME_5GC,36,276,2025-02-05T13:08:15
X2_RECEIVED_SMF_5GC,355,422,2025-02-05T13:08:15
X3_RECEIVED_UPF_5GC,207849,170,2025-02-05T13:08:15
svc-catania-amf-x2-receiver-1-68fj4,10,9,2025-02-05T13:08:15
svc-catania-amf-x2-receiver-1-6d7xb,5,50,2025-02-05T13:08:15
svc-catania-amf-x2-receiver-1-l25xm,1,6,2025-02-05T13:08:15
svc-catania-cims-x2-receiver-2-ksqtz,233,1399,2025-02-05T13:08:15
svc-catania-cims-x2-receiver-2-kz9jd,310,1228,2025-02-05T13:08:15
svc-catania-cims-x2-receiver-2-mclh6,346,1445,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-b9vsb,29128,429,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-d6t6x,11498,412,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-fsxwz,3870,376,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-n94lk,29274,422,2025-02-05T13:08:15
svc-catania-cims-x3-receiver-1-pstrw,0,197,2025-02-05T13:08:15
svc-catania-delivery-function-0,943798,1494,2025-02-05T13:08:15
svc-catania-handover-manager-0,46262,2129,2025-02-05T13:08:15
svc-catania-mme-x2-receiver-1-85ddf,25,190,2025-02-05T13:08:15
svc-catania-mme-x2-receiver-1-mzgcn,2,36,2025-02-05T13:08:15
svc-catania-mme-x2-receiver-1-tfmw7,9,50,2025-02-05T13:08:15
svc-catania-smf-x2-receiver-1-8rnlk,106,116,2025-02-05T13:08:15
svc-catania-smf-x2-receiver-1-9hbd8,157,190,2025-02-05T13:08:15
